occurrenceID,eventID,sex,lifeStage,scientificName,kingdom,phylum,class,order,family,genus
PSZMP-OCC-010322KSBP01D0815-181598-CALANUS-COPEPODITES_C5-I,PSZMP-SMP-010322KSBP01D0815,indeterminate,copepodites C5 plus adults,Calanus,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus
PSZMP-OCC-010422LSNT01D1323-181607-CALANUS-COPEPODITES_C5-I,PSZMP-SMP-010422LSNT01D1323,indeterminate,copepodites C5 plus adults,Calanus,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus
PSZMP-OCC-010422LSNT01V1305-193058-ACARTIA_LONGIREMIS-ADULT-F,PSZMP-SMP-010422LSNT01V1305,female,adult,Acartia longiremis,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia
PSZMP-OCC-010422LSNT01V1305-193056-AETIDEUS-ADULT-F,PSZMP-SMP-010422LSNT01V1305,female,adult,Aetideus,Animalia,Arthropoda,Copepoda,Calanoida,Aetideidae,Aetideus
PSZMP-OCC-010422LSNT01V1305-193061-AETIDEUS-ADULT-M,PSZMP-SMP-010422LSNT01V1305,male,adult,Aetideus,Animalia,Arthropoda,Copepoda,Calanoida,Aetideidae,Aetideus
PSZMP-OCC-010422LSNT01V1305-193055-AETIDEUS-COPEPODITES-I,PSZMP-SMP-010422LSNT01V1305,indeterminate,copepodites,Aetideus,Animalia,Arthropoda,Copepoda,Calanoida,Aetideidae,Aetideus
PSZMP-OCC-010422LSNT01V1305-193076-CALANUS_MARSHALLAE-COPEPODITES_C5-I,PSZMP-SMP-010422LSNT01V1305,indeterminate,copepodites C5,Calanus marshallae,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus
PSZMP-OCC-010422LSNT01V1305-193077-CALANUS_PACIFICUS-ADULT-M,PSZMP-SMP-010422LSNT01V1305,male,adult,Calanus pacificus,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus
PSZMP-OCC-010422LSNT01V1305-193087-CALANUS_PACIFICUS-COPEPODITES_C1-I,PSZMP-SMP-010422LSNT01V1305,indeterminate,copepodites C1,Calanus pacificus,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus
PSZMP-OCC-010422LSNT01V1305-193075-CALANUS_PACIFICUS-COPEPODITES_C5-I,PSZMP-SMP-010422LSNT01V1305,indeterminate,copepodites C5,Calanus pacificus,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus
PSZMP-OCC-010422LSNT01V1305-193063-DITRICHOCORYCAEUS_ANGLICUS-ADULT-F,PSZMP-SMP-010422LSNT01V1305,female,adult,Ditrichocorycaeus anglicus,Animalia,Arthropoda,Copepoda,Cyclopoida,Corycaeidae,Ditrichocorycaeus
PSZMP-OCC-010422LSNT01V1305-193062-DITRICHOCORYCAEUS_ANGLICUS-ADULT-M,PSZMP-SMP-010422LSNT01V1305,male,adult,Ditrichocorycaeus anglicus,Animalia,Arthropoda,Copepoda,Cyclopoida,Corycaeidae,Ditrichocorycaeus
PSZMP-OCC-010422LSNT01V1305-193065-DITRICHOCORYCAEUS_ANGLICUS-COPEPODITES-I,PSZMP-SMP-010422LSNT01V1305,indeterminate,copepodites,Ditrichocorycaeus anglicus,Animalia,Arthropoda,Copepoda,Cyclopoida,Corycaeidae,Ditrichocorycaeus
PSZMP-OCC-010422LSNT01V1305-193066-HEMICYCLOPS-INDETERMINATE-I,PSZMP-SMP-010422LSNT01V1305,indeterminate,indeterminate,Hemicyclops,Animalia,Arthropoda,Copepoda,Cyclopoida,Clausidiidae,Hemicyclops
PSZMP-OCC-010422LSNT01V1305-193086-METRIDIA_PACIFICA-ADULT-F,PSZMP-SMP-010422LSNT01V1305,female,adult,Metridia pacifica,Animalia,Arthropoda,Copepoda,Calanoida,Metridinidae,Metridia
PSZMP-OCC-010422LSNT01V1305-193060-METRIDIA_PACIFICA-COPEPODITES_C5-I,PSZMP-SMP-010422LSNT01V1305,indeterminate,copepodites C5,Metridia pacifica,Animalia,Arthropoda,Copepoda,Calanoida,Metridinidae,Metridia
PSZMP-OCC-010422LSNT01V1305-193046-MICROCALANUS-ADULT-F,PSZMP-SMP-010422LSNT01V1305,female,adult,Microcalanus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Microcalanus
PSZMP-OCC-010422LSNT01V1305-193053-MICROCALANUS-ADULT-M,PSZMP-SMP-010422LSNT01V1305,male,adult,Microcalanus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Microcalanus
PSZMP-OCC-010422LSNT01V1305-193049-MICROCALANUS-COPEPODITES-I,PSZMP-SMP-010422LSNT01V1305,indeterminate,copepodites,Microcalanus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Microcalanus
PSZMP-OCC-010422LSNT01V1305-193084-OITHONA_ATLANTICA-ADULT-F,PSZMP-SMP-010422LSNT01V1305,female,adult,Oithona atlantica,Animalia,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona
PSZMP-OCC-010422LSNT01V1305-193064-OITHONA_SIMILIS-ADULT-F,PSZMP-SMP-010422LSNT01V1305,female,adult,Oithona similis,Animalia,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona
PSZMP-OCC-010422LSNT01V1305-193057-PARACALANUS-ADULT-F,PSZMP-SMP-010422LSNT01V1305,female,adult,Paracalanus,Animalia,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus
PSZMP-OCC-010422LSNT01V1305-193051-PARACALANUS-COPEPODITES-I,PSZMP-SMP-010422LSNT01V1305,indeterminate,copepodites,Paracalanus,Animalia,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus
PSZMP-OCC-010422LSNT01V1305-193050-PSEUDOCALANUS-ADULT-M,PSZMP-SMP-010422LSNT01V1305,male,adult,Pseudocalanus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus
